roman,titreLabel,authorLabel
http://www.wikidata.org/entity/Q18176460,La montagna d'oro,Emilio Salgari
http://www.wikidata.org/entity/Q18236962,,Manuel Scorza
http://www.wikidata.org/entity/Q18390054,,Ellery Queen
http://www.wikidata.org/entity/Q18407139,Няма нищо по-хубаво от лошото време,Bogomil Raïnov
http://www.wikidata.org/entity/Q18418764,,Ben Pastor
http://www.wikidata.org/entity/Q18456497,,
http://www.wikidata.org/entity/Q18858492,斯文變相,
http://www.wikidata.org/entity/Q18880605,,Hwang Sun-mi
http://www.wikidata.org/entity/Q18987449,"ছবির দেশে, কবিতার দেশে",Sunil Gangopadhyay
http://www.wikidata.org/entity/Q19089527,,James H. Street
http://www.wikidata.org/entity/Q19435909,,Emilia Pardo Bazán
http://www.wikidata.org/entity/Q19523729,Bludné duše,Václav Beneš Třebízský
http://www.wikidata.org/entity/Q19524363,Dekret Kutnohorský,Josef Kajetán Tyl
http://www.wikidata.org/entity/Q19525189,Duše továrny,Matěj Anastasia Šimáček
http://www.wikidata.org/entity/Q19526896,Kašpar Lén,Karel Matěj Čapek-Chod
http://www.wikidata.org/entity/Q19528773,Na šachtě,František Sokol-Tůma
http://www.wikidata.org/entity/Q19530653,Pravý výlet pana Broučka do Měsíce,Svatopluk Čech
http://www.wikidata.org/entity/Q19531502,Robinson čili Osudy a dobrodružství anglické rodiny v šírých stepích severní Ameriky zabloudilé,Thomas Mayne Reid
http://www.wikidata.org/entity/Q19531502,Robinson čili Osudy a dobrodružství anglické rodiny v šírých stepích severní Ameriky zabloudilé,František Antonín Zeman
http://www.wikidata.org/entity/Q19531502,Robinson čili Osudy a dobrodružství anglické rodiny v šírých stepích severní Ameriky zabloudilé,Josef Vojtech Houska
http://www.wikidata.org/entity/Q19531855,Skláři,Karel Klostermann
http://www.wikidata.org/entity/Q19534942,Vlastencové z Boudy,Josef Jiří Stankovský
http://www.wikidata.org/entity/Q19599468,,Iain Pears
http://www.wikidata.org/entity/Q19606269,,Geneviève Dormann
http://www.wikidata.org/entity/Q19622938,,Pierdomenico Baccalario
http://www.wikidata.org/entity/Q19670901,,Hr̥dayacandasiṃha Pradhāna
http://www.wikidata.org/entity/Q19682487,माधवी,Madan Mani Dixit
http://www.wikidata.org/entity/Q19704434,,Iida Rauma
http://www.wikidata.org/entity/Q19811115,ரங்கோன் ராதா,Conjeevaram Natarajan Annadurai
http://www.wikidata.org/entity/Q19852707,,Fishman The Second
http://www.wikidata.org/entity/Q19855764,,Tangjia Sanshao
http://www.wikidata.org/entity/Q19977709,,Fredrik Ström
http://www.wikidata.org/entity/Q20461728,Sesuci Kasih Ibu,Rejab F.I.
http://www.wikidata.org/entity/Q20501145,,
http://www.wikidata.org/entity/Q20501167,,Valentin Pikul'
http://www.wikidata.org/entity/Q20501186,,
http://www.wikidata.org/entity/Q20501303,,
http://www.wikidata.org/entity/Q20666450,,Jean d'Ormesson
http://www.wikidata.org/entity/Q20972545,,Jean d'Ormesson
http://www.wikidata.org/entity/Q21035931,,Wally Lamb
http://www.wikidata.org/entity/Q21189997,,Antonio Manzini
http://www.wikidata.org/entity/Q21190073,,Pierdomenico Baccalario
http://www.wikidata.org/entity/Q21322954,Women of Owu,Femi Osofisan
http://www.wikidata.org/entity/Q21576522,묘지,Yom Sang-seop
http://www.wikidata.org/entity/Q21576522,만세전,Yom Sang-seop
http://www.wikidata.org/entity/Q21576522,묘지,Yom Sang-seop
http://www.wikidata.org/entity/Q21576522,만세전,Yom Sang-seop
http://www.wikidata.org/entity/Q21874597,,Storm Jameson
http://www.wikidata.org/entity/Q21875045,,Storm Jameson
http://www.wikidata.org/entity/Q21875170,,Storm Jameson
http://www.wikidata.org/entity/Q22125402,,Shizuko Tōdō
http://www.wikidata.org/entity/Q22263543,,Erri De Luca
http://www.wikidata.org/entity/Q22263545,,Pierdomenico Baccalario
http://www.wikidata.org/entity/Q22263556,Terre Selvagge,Sebastiano Vassalli
http://www.wikidata.org/entity/Q23538340,Мир по Новикову,Andrei Gusev
http://www.wikidata.org/entity/Q24574726,,Edgar Wallace
http://www.wikidata.org/entity/Q24894877,,
http://www.wikidata.org/entity/Q25217435,Carnival,Elizabeth Bear
http://www.wikidata.org/entity/Q25413124,,Jerzy Krzysztoń
http://www.wikidata.org/entity/Q25418488,,Nhật Ánh Nguyêñ
http://www.wikidata.org/entity/Q25463040,,
http://www.wikidata.org/entity/Q25526186,,
http://www.wikidata.org/entity/Q25565611,The Store that Mama Built,Robert Lehrman
http://www.wikidata.org/entity/Q25588251,,Shirshendu Mukhopadhyay
http://www.wikidata.org/entity/Q25645099,,
http://www.wikidata.org/entity/Q26258747,,Siri Pettersen
http://www.wikidata.org/entity/Q26964775,How I Left The National Grid,Guy Mankowski
http://www.wikidata.org/entity/Q27961057,,Bianca Pitzorno
http://www.wikidata.org/entity/Q28038922,,
http://www.wikidata.org/entity/Q28096756,What Belongs to You,Garth Greenwell
http://www.wikidata.org/entity/Q28670268,,Carlo Lucarelli
http://www.wikidata.org/entity/Q28671581,,Albert Espinosa Puig
http://www.wikidata.org/entity/Q28690009,,Miyuki Miyabe
http://www.wikidata.org/entity/Q28711587,,Marian Vayreda i Vila
http://www.wikidata.org/entity/Q29254891,,Kikuko Tsumura
http://www.wikidata.org/entity/Q29649673,Seven Surrenders,Ada Palmer
http://www.wikidata.org/entity/Q30766218,,Erckmann-Chatrian
http://www.wikidata.org/entity/Q30887885,,
http://www.wikidata.org/entity/Q30894390,,Ahmed Nagi
http://www.wikidata.org/entity/Q30900601,,
http://www.wikidata.org/entity/Q30933592,,Keiichirō Hirano
http://www.wikidata.org/entity/Q30940687,,Tong Fang Po
http://www.wikidata.org/entity/Q31354596,მსხლების მინდორი,Nana Ekvtimishvili
http://www.wikidata.org/entity/Q31683013,,Stephen Crane
http://www.wikidata.org/entity/Q31707500,,
http://www.wikidata.org/entity/Q31734913,,Roger Manderscheid
http://www.wikidata.org/entity/Q31734916,,Roger Manderscheid
http://www.wikidata.org/entity/Q31795806,Хоёр хар буурын туурь,D. Maam
http://www.wikidata.org/entity/Q31896051,,Anna-Lisa Bäckman
http://www.wikidata.org/entity/Q33011916,All That I Have,Castle Freeman
http://www.wikidata.org/entity/Q42191460,El inglés de los güesos,Benito Lynch
http://www.wikidata.org/entity/Q42192616,,Sholem Asch
http://www.wikidata.org/entity/Q42193640,Obyčejný život,Karel Čapek
http://www.wikidata.org/entity/Q42526317,,Pétros Márkaris
http://www.wikidata.org/entity/Q47470254,세종대왕,Park Chong-hwa
http://www.wikidata.org/entity/Q48798438,Season of Crimson Blossoms,Abubakar Adam Ibrahim
http://www.wikidata.org/entity/Q48834802,,
http://www.wikidata.org/entity/Q104848497,,Leslie Poles Hartley
http://www.wikidata.org/entity/Q104869294,The Fall of the Families,Phillip Mann
http://www.wikidata.org/entity/Q104873927,,Jonathan Coe
http://www.wikidata.org/entity/Q105086176,Paradise City,Zoë Beck
http://www.wikidata.org/entity/Q105317094,,Kornelius von Vacano
http://www.wikidata.org/entity/Q105616648,Song for Mumu,Lindsay Barrett
http://www.wikidata.org/entity/Q105886912,,Joan Francesc Mira
http://www.wikidata.org/entity/Q106119597,,
http://www.wikidata.org/entity/Q106498501,Увела ружа,Borisav Stanković
http://www.wikidata.org/entity/Q106595701,La Erupción Zafiro,
http://www.wikidata.org/entity/Q106686859,Vetas profundas,Fernando Aramburu
http://www.wikidata.org/entity/Q106835320,Entre vinos hablaos,Olga Luján
http://www.wikidata.org/entity/Q107050557,The Last Days of Forcados High School,
http://www.wikidata.org/entity/Q107272639,,Michael Chabon
http://www.wikidata.org/entity/Q107302819,,Andrea Tompa
